FoodName,Barcode,Calories,Food_Id,FoodType
¤Ñ°üÃ¹,22312417703,175,,
§N­áªáªK¤Y,22312417704,162,,
§N­áªáªK±Æ,22312417705,185,,
§N­áªáªK¶ô,22312417706,179,,
§N­áªáªK¼ß,22312417707,223,,
§N­áªáªKÃ¼,22312417708,126,,
§N­á³H±²,22312417709,181,,
§N­áªë¥Ø³½¤Y,22312417710,203,,
§N­á¤åµð¤Y,22312417711,211,,
§N­áºX³½¤Y,22312417712,158,,
§N­á÷«³½¤Y,22312417713,87,,
§N­á³½±²,22312417714,125,,
§N­áÂC±Æ,22312417715,143,,
³½¦×²ã,22312417716,104,,
ÄJ³½¦×²ã,22312417717,685,,
³½¦×ÃP,22312417718,470,,
ºX³½ÃP,22312417719,476,,
ÂD³½ÃP,22312417720,454,,
§N­áºX³½¶ô,22312417721,178,,
§N­á½¼¤Y,22312417722,123,,
§N­á½¼±²,22312417723,153,,
§N­á½¼»æ,22312417724,123,,
§N­á¾{³½°é,22312417725,143,,
­»µ«ÂC³½ÅøÀY,22312417726,258,,
­X¥ÄÄJ³½ÅøÀY,22312417727,115,,
§N­á³½§Z¨÷,22312417728,115,,
§N­áÃÉ¨ý´Î,22312417729,116,,
§N­á¤p­»¸z,22312417730,248,,
§N­áªáªK»å,22312417731,168,,
§N­á­»Û£»å,22312417732,231,,
§N­á³J»å,22312417733,182,,
§N­á³·Á³»å,22312417734,201,,
§N­á³½»å,22312417735,277,,
§N­á½¼»å,22312417736,273,,
§N­á¿P»å,22312417737,315,,
¨Rªw¿@´ö(®üÂA),22312417738,334,,
¥É¦Ì¿@´ö½Õ²z¥],22312417739,364,,
